id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
1,Eric,Phillips,CC,716909874.0,2002-10-12,2023-12-14,ESTANDAR,567.0,Harrisontown,Virginia,,APP
2,John,Crosby,CE,923500775.0,2011-11-27,2023-12-18,ELITE,822.0,,Kansas,,OFICINA
3,,Sanchez,CC,338359007.0,1999-07-21,2023-03-03,PREMIUM,521.0,South Tracyshire,Washington,INACTIVO,WEB
4,Mike,Jordan,CC,549027631.0,1971-06-14,2023-01-16,ELITE,728.0,Port Jeremyport,,ACTIVO,APP
5,,,CC,460430610.0,1982-12-18,,PREMIUM,509.0,Coopermouth,Washington,INACTIVO,OFICINA
6,Melissa,Glenn,CE,486565893.0,2008-01-20,2023-05-30,,618.0,Alexandraport,Missouri,ACTIVO,WEB
7,Andrew,Phillips,CC,989030739.0,2005-07-21,2023-05-22,ELITE,659.0,Howardmouth,Delaware,ACTIVO,OFICINA
8,Veronica,Rose,CC,613891482.0,2008-04-20,2023-04-26,PREMIUM,601.0,North Paige,Maryland,ACTIVO,WEB
9,Jessica,Lloyd,CC,535534388.0,1977-07-05,2023-11-08,BASICO,631.0,North Maxwell,Virginia,INACTIVO,OFICINA
10,Christina,Thomas,CE,478534506.0,1982-09-10,2023-03-06,BASICO,511.0,Carrieton,Kentucky,INACTIVO,APP
11,Tammie,Norris,CC,461912676.0,1982-02-12,2023-11-06,BASICO,,Stacyville,North Carolina,INACTIVO,OFICINA
12,Joe,,CC,215098415.0,1993-09-18,2023-07-13,ELITE,699.0,Michaelview,Maine,INACTIVO,WEB
13,Abigail,Myers,CC,555666310.0,1980-06-27,2023-12-08,BASICO,,North Vanessamouth,North Dakota,INACTIVO,APP
14,Melanie,Gutierrez,CC,518963898.0,1971-06-18,2023-06-10,BASICO,580.0,Loganton,South Dakota,INACTIVO,APP
15,Samuel,Garrison,,874745156.0,2009-01-06,2023-11-02,PREMIUM,782.0,South Jordanmouth,Georgia,ACTIVO,OFICINA
16,Christian,Nguyen,CC,880900874.0,2003-07-14,2023-12-27,BASICO,528.0,Port Alexandermouth,California,ACTIVO,
17,Sandra,Hughes,CE,203596174.0,1981-03-11,2023-10-05,ELITE,613.0,Sandersstad,Montana,ACTIVO,WEB
18,Travis,Schmidt,CE,874582463.0,1994-07-07,2023-10-23,ESTANDAR,599.0,Juanport,Utah,ACTIVO,APP
19,Nancy,Wise,CE,433612418.0,,2023-02-08,BASICO,711.0,West Carlos,Alabama,INACTIVO,WEB
20,,Spencer,CC,810816121.0,1994-11-13,2023-12-27,ELITE,654.0,East Seanhaven,New Mexico,INACTIVO,WEB
21,Cathy,Baker,CE,987357974.0,1976-06-13,2023-06-18,BASICO,639.0,East Danaland,Utah,ACTIVO,WEB
22,Kristin,Allen,CC,267601844.0,1975-05-10,2023-03-09,ELITE,465.0,Tracymouth,New Hampshire,INACTIVO,APP
23,Ashley,Thomas,CE,251817508.0,1978-02-19,2023-01-07,BASICO,736.0,Corytown,Virginia,INACTIVO,APP
24,Danielle,Johnson,CE,611558664.0,1985-03-02,2023-03-26,PREMIUM,628.0,New Michaelfurt,,INACTIVO,OFICINA
25,Arthur,Kane,,681209358.0,1990-07-08,2023-07-18,ESTANDAR,661.0,New Tinastad,Oregon,INACTIVO,WEB
26,Christine,Dean,CE,703645314.0,1977-10-07,2023-05-12,ESTANDAR,575.0,East Eric,Georgia,INACTIVO,WEB
27,Nancy,Valencia,CE,943905116.0,1983-07-11,2023-03-17,ELITE,559.0,Juliamouth,,INACTIVO,OFICINA
28,Margaret,Mcdonald,CE,,1979-12-24,2023-09-07,ELITE,,Tracyhaven,Texas,ACTIVO,OFICINA
29,Matthew,Jones,,177640857.0,,2023-12-13,ESTANDAR,472.0,,Iowa,INACTIVO,WEB
30,Lynn,Lopez,CE,,1996-01-16,2023-07-28,PREMIUM,544.0,New Loganview,South Dakota,INACTIVO,WEB
31,Haley,,CC,409527700.0,1970-07-03,2023-03-25,PREMIUM,798.0,New Joel,Missouri,ACTIVO,
32,Shelia,Miller,CC,471647352.0,1995-12-11,2023-08-11,BASICO,714.0,Meredithborough,Wisconsin,ACTIVO,APP
33,Joshua,Strong,CE,356601354.0,2001-01-10,2023-09-10,PREMIUM,617.0,East Kimberlyview,Arkansas,ACTIVO,OFICINA
34,David,Clayton,CE,977613477.0,2011-07-18,2023-01-31,ESTANDAR,,Shauntown,New Mexico,ACTIVO,WEB
35,Chad,Campbell,CE,563576903.0,1997-05-07,2023-12-21,ESTANDAR,694.0,,North Carolina,ACTIVO,WEB
36,Michael,Hernandez,CC,867067753.0,1982-12-06,2023-07-20,PREMIUM,673.0,Lake Michael,Alabama,ACTIVO,APP
37,Tiffany,Ferguson,CE,816947927.0,2011-08-08,2023-02-21,PREMIUM,672.0,Lewisstad,Maine,ACTIVO,
38,Nathaniel,Fitzgerald,CC,896271138.0,2016-12-31,2023-03-13,ESTANDAR,696.0,Cervantesborough,Nebraska,ACTIVO,WEB
39,,Mays,CC,341668726.0,2018-12-26,2023-01-21,ESTANDAR,700.0,Danielmouth,,ACTIVO,OFICINA
40,Lynn,Foster,CC,972394253.0,2008-07-12,2023-01-16,ESTANDAR,850.0,Clarkton,Missouri,INACTIVO,APP
41,Jeffrey,Schwartz,,164773622.0,2013-09-28,2023-01-16,ESTANDAR,630.0,Williambury,Idaho,INACTIVO,OFICINA
42,Amanda,Cooper,CC,942640137.0,1986-01-12,2023-06-24,ESTANDAR,633.0,Tylerfort,Texas,ACTIVO,
43,Sarah,Rodriguez,CE,,2006-05-26,2023-11-08,,526.0,,Virginia,ACTIVO,WEB
44,Leonard,Mosley,CE,928372773.0,2002-12-25,2023-12-04,PREMIUM,644.0,West Gabrielle,Nevada,ACTIVO,OFICINA
45,Jillian,Campbell,CE,218489451.0,1971-11-08,2023-03-19,BASICO,836.0,Deborahfort,Massachusetts,INACTIVO,OFICINA
46,Patrick,Hill,CE,498207094.0,1981-03-14,2023-08-28,BASICO,748.0,Shafferfurt,Indiana,ACTIVO,OFICINA
47,Raven,,CE,138243565.0,2004-03-21,2023-02-06,ELITE,595.0,South Richard,Arkansas,INACTIVO,APP
